
1/28/13,Raptors,,Kyle Lowry,back spasms (DNP)
1/28/13,Raptors,,Linas Kleiza,sore right knee (DNP)
1/28/13,Warriors,,Jeremy Tyler,placed on IL
1/28/13,Warriors,Andrew Bogut,,activated from IL
1/28/13,Nets,Tyshawn Taylor,,activated from IL
1/28/13,Rockets,Donatas Motiejunas,,activated from IL
1/29/13,Blazers,,Victor Claver,placed on IL
1/29/13,Blazers,Jared Jeffries,,activated from IL
1/29/13,Cavaliers,,Daniel Gibson,sprained right big toe (DNP)
1/29/13,Cavaliers,,Luke Walton,sore left ankle (DNP)
1/29/13,Hornets,Darius Miller,,activated from IL
1/29/13,Lakers,Steve Blake,,activated from IL
1/29/13,Mavericks,,Chris Kaman,placed on IL with concussion
1/29/13,Mavericks,Dominique Jones,,activated from IL
1/29/13,Pistons,,Khris Middleton,placed on IL
1/29/13,Pistons,Rodney Stuckey,,activated from IL
1/29/13,Warriors,,Andrew Bogut,placed on IL for rest
1/29/13,Warriors,,Carl Landry,bruised left shoulder (DNP)
1/29/13,Warriors,,Stephen Curry,sprained right ankle (DNP)
1/29/13,Warriors,Jeremy Tyler,,activated from IL
1/30/13,76ers,,Jason Richardson,left knee synovitis (DNP)
1/30/13,Bobcats,,Tyrus Thomas,bruised left knee (DNP)
1/30/13,Bucks,,Larry Sanders ,placed on IL with illness
1/30/13,Bucks,Joel Przybilla,,activated from IL
1/30/13,Bulls,,Carlos Boozer,strained right hamstring (DNP)
1/30/13,Celtics,,Rajon Rondo,torn ACL in right knee (DNP)
1/30/13,Clippers,,Chris Paul,bruised right kneecap (DNP)
1/30/13,Hawks,,Zaza Pachulia,placed on IL with sore right Achilles tendon
1/30/13,Hawks,Anthony Morrow,,activated from IL
1/30/13,Hornets,,Eric Gordon,DNP
1/30/13,Jazz,,Gordon Hayward,sprained right shoulder (DNP)
1/30/13,Kings,,John Salmons,placed on IL
1/30/13,Kings,Tyler Honeycutt,,activated from IL
